Date,HRMS (day)
1980.001,117.142
1980.004,117.8
1980.007,117.197
1980.010,117.03
1980.012,117.619
1980.015,117.95
1980.018,117.946
1980.021,117.986
1980.023,116.907
1980.026,117.168
1980.029,116.781
1980.032,115.587
1980.034,115.821
1980.037,114.23
1980.040,113.794
1980.042,115.794
1980.045,115.546
1980.048,115.421
1980.051,115.608
1980.053,116.006
1980.056,116.343
1980.059,116.837
1980.062,116.837
1980.064,117.154
1980.067,117.367
1980.070,117.539
1980.073,117.373
1980.075,117.788
1980.078,117.693
1980.081,118.371
1980.084,118.438
1980.086,118.065
1980.089,118.059
1980.092,118.079
1980.095,118.281
1980.097,118.505
1980.100,115.509
1980.103,113.683
1980.106,114.297
1980.108,114.338
1980.111,114.485
1980.114,114.24
1980.117,114.716
1980.119,114.823
1980.122,114.865
1980.125,114.755
1980.127,115.728
1980.130,115.661
1980.133,115.95
1980.136,116.274
1980.138,116.465
1980.141,116.778
1980.144,116.439
1980.147,116.361
1980.149,117.08
1980.152,117.731
1980.155,117.811
1980.158,117.495
1980.160,117.412
1980.163,117.397
1980.165,117.998
1980.168,118.575
1980.171,118.891
1980.174,118.076
1980.176,117.556
1980.179,116.154
1980.182,115.729
1980.185,115.889
1980.187,115.809
1980.190,115.701
1980.193,115.935
1980.196,116.564
1980.198,116.62
1980.201,116.862
1980.204,117.272
1980.206,117.457
1980.209,117.741
1980.212,118.078
1980.215,117.625
1980.217,115.979
1980.220,117.897
1980.223,117.692
1980.226,117.867
1980.228,118.161
1980.231,117.689
1980.234,118.279
1980.237,118.38
1980.239,118.68
1980.242,118.944
1980.245,119.231
1980.248,117.584
1980.250,116.942
1980.253,117.22
1980.256,114.852
1980.259,114.523
1980.261,113.975
1980.264,112.037
1980.267,111.721
1980.270,111.385
1980.272,112.124
1980.275,113.195
1980.278,113.588
1980.281,113.839
1980.283,114.069
1980.286,114.623
1980.289,115.648
1980.291,116.528
1980.294,117.22
1980.297,117.537
1980.300,118.15
1980.302,118.024
1980.305,118.028
1980.308,117.384
1980.311,117.517
