Date,MXCO (day)
1990.001,205.948
1990.004,206.731
1990.007,207.428
1990.010,207.922
1990.012,208.431
1990.015,208.61
1990.018,208.867
1990.021,208.732
1990.023,208.572
1990.026,209.165
1990.029,209.95
1990.032,210.555
1990.034,211.063
1990.037,210.641
1990.040,210.852
1990.042,210.763
1990.045,211.066
1990.048,211.228
1990.051,211.33
1990.053,210.824
1990.056,211.621
1990.059,209.585
1990.062,209.574
1990.064,208.474
1990.067,208.479
1990.070,208.271
1990.073,208.416
1990.075,208.044
1990.078,208.534
1990.081,200.512
1990.084,210.61
1990.086,209.105
1990.089,210.993
1990.092,211.437
1990.095,211.918
1990.097,212.469
1990.100,211.808
1990.103,210.941
1990.106,211.332
1990.108,211.918
1990.111,212.374
1990.114,213.067
1990.117,212.873
1990.119,213.092
1990.122,210.87
1990.125,210.337
1990.127,211.162
1990.130,209.579
1990.133,208.658
1990.136,208.614
1990.138,209.099
1990.141,208.662
1990.144,209.526
1990.147,210.299
1990.149,210.598
1990.152,211.224
1990.155,210.573
1990.158,210.567
1990.160,210.168
1990.163,210.178
1990.166,211.312
1990.169,212.294
1990.172,212.428
1990.174,213.436
1990.177,211.991
1990.180,211.559
1990.183,211.132
1990.185,210.614
1990.188,210.789
1990.191,211.619
1990.194,212.141
1990.196,210.776
1990.199,211.85
1990.202,212.662
1990.204,212.613
1990.207,212.511
1990.210,211.926
1990.213,210.426
1990.215,209.18
1990.218,206.329
1990.221,203.466
1990.224,203.853
1990.226,203.859
1990.232,204.919
1990.235,204.178
1990.237,204.205
1990.240,204.159
1990.243,203.753
1990.246,201.223
1990.248,206.543
1990.251,207.496
1990.254,206.007
1990.257,206.161
1990.259,206.855
1990.262,207.906
1990.265,209.557
1990.268,209.844
1990.270,204.29
1990.276,202.093
1990.279,201.642
1990.281,201.832
1990.284,203.245
1990.287,204.69
1990.289,206.085
1990.292,206.042
1990.295,207.284
1990.298,207.107
1990.300,207.501
1990.303,205.281
1990.306,205.824
1990.309,204.607
1990.311,204.408
1990.314,204.063
1990.317,203.479
1990.320,204.309
1990.322,204.351
1990.325,202.41
1990.328,202.65
1990.330,204.393
1990.333,205.328
1990.336,205.871
1990.339,206.434
1990.341,205.78
1990.344,206.187
1990.347,206.375
1990.350,205.63
1990.352,206.118
1990.355,206.056
1990.358,206.716
1990.361,207.215
1990.363,206.466
1990.366,205.999
1990.369,206.598
1990.371,207.059
1990.374,207.284
1990.377,207.443
1990.380,206.69
1990.382,204.043
1990.385,203.454
1990.388,202.039
1990.391,202.876
1990.393,204.054
1990.396,204.035
1990.399,205.481
1990.402,205.47
1990.404,205.533
1990.407,203.014
1990.410,201.764
1990.413,203.152
1990.415,204.196
1990.418,204.744
1990.421,206.414
1990.424,205.761
1990.426,205.185
1990.429,205.557
1990.432,206.845
1990.435,206.362
1990.437,207.028
1990.440,206.918
1990.443,207.577
1990.446,206.859
1990.448,205.182
1990.451,203.61
1990.454,202.98
1990.456,204.765
1990.459,205.97
1990.462,207.023
1990.465,207.668
1990.467,208.446
1990.470,209.221
1990.473,208.916
1990.476,209.141
1990.478,208.141
1990.481,207.384
1990.484,206.248
1990.487,207.492
1990.489,207.675
1990.492,208.124
1990.495,208.492
1990.497,209.346
1990.500,210.2
1990.503,210.526
1990.506,209.87
1990.508,208.518
1990.511,208.308
1990.514,209.522
1990.517,211.153
1990.519,210.21
1990.522,207.775
1990.525,206.6
1990.528,208.198
1990.530,209.27
1990.533,210.469
1990.536,209.55
1990.538,209.819
1990.541,208.589
1990.544,210.995
1990.547,212.508
1990.549,212.24
1990.552,211.853
1990.555,211.247
1990.558,210.14
1990.560,209.927
1990.563,210.918
1990.566,210.98
1990.569,211.645
1990.571,206.641
1990.574,206.787
1990.577,207.193
1990.580,208.561
1990.582,207.268
1990.645,209.205
1990.648,210.556
1990.651,209.597
1990.654,206.223
1990.656,208.792
1990.659,208.742
1990.662,207.904
1990.665,207.879
1990.676,208.206
1990.678,209.116
1990.681,209.467
1990.684,209.836
1990.687,209.98
1990.689,210.398
1990.692,210.756
1990.695,210.611
1990.698,209.972
1990.700,211.415
1990.703,211.675
1990.706,210.509
1990.708,211.22
1990.711,211.342
1990.714,211.037
1990.717,210.021
1990.719,210.576
1990.722,211.244
1990.725,211.431
1990.728,211.544
1990.730,211.914
1990.733,212.493
1990.736,211.874
1990.739,213.246
1990.741,214.001
1990.744,215.11
1990.747,215.689
1990.749,216.418
1990.752,216.832
1990.755,217.423
1990.758,215.355
1990.760,214.503
1990.769,215.235
1990.771,215.307
1990.774,213.268
1990.777,212.889
1990.780,212.973
1990.782,213.742
1990.785,214.268
1990.788,215.72
1990.790,215.077
1990.793,215.737
1990.796,215.33
1990.799,215.95
1990.801,216.558
1990.804,217.656
1990.807,217.432
1990.810,215.614
1990.812,216.561
1990.815,215.652
1990.818,214.232
1990.821,212.476
1990.823,212.369
1990.826,212.353
1990.829,211.297
1990.832,212.756
1990.834,213.838
1990.837,214.738
1990.840,214.969
1990.843,215.551
1990.845,216.744
1990.848,217.045
1990.851,217.152
1990.854,216.44
1990.856,216.014
1990.859,216.337
1990.862,216.872
1990.865,216.223
1990.867,216.825
1990.870,217.193
1990.873,217.085
1990.875,218.054
1990.878,218.048
1990.881,218.573
1990.884,218.906
1990.886,218.729
1990.889,217.741
1990.892,217.559
1990.895,217.607
1990.897,217.129
1990.900,217.292
1990.903,217.619
1990.906,217.46
1990.908,217.387
1990.911,217.499
1990.914,216.467
1990.916,214.156
1990.919,214.224
1990.922,214.796
1990.925,215.593
1990.927,212.47
1990.930,210.797
1990.933,210.721
1990.936,209.934
1990.938,206.706
1990.941,208.001
1990.944,208.236
1990.947,209.143
1990.949,210.059
1990.952,209.424
1990.955,209.744
1990.957,210.025
1990.960,210.41
1990.963,210.544
1990.966,209.911
1990.968,209.931
1990.971,210.763
1990.974,209.596
1990.977,208.352
1990.979,209.677
1990.982,210.188
1990.985,209.948
1990.988,210.541
1990.990,211.394
1990.993,212.4
1990.996,210.84
1990.999,210.602
1991.001,212.118
1991.004,212.587
1991.007,212.729
1991.010,212.705
1991.012,213.112
1991.015,213.02
1991.018,212.707
1991.021,213.892
1991.023,213.557
1991.026,213.321
1991.029,213.389
1991.032,212.937
1991.034,212.442
1991.037,211.934
1991.040,212.657
1991.042,213.128
1991.045,213.109
1991.048,212.803
1991.051,213.353
1991.053,214.492
1991.056,214.161
1991.067,214.111
1991.070,212.125
1991.073,212.299
1991.075,212.178
1991.078,213.016
1991.081,213.654
1991.084,212.07
1991.086,209.16
1991.089,209.731
1991.092,210.005
1991.095,210.649
1991.097,210.736
1991.100,211.269
1991.103,211.465
1991.106,212.1
1991.108,212.906
1991.111,211.858
1991.114,211.893
1991.117,212.072
1991.119,212.492
1991.122,213.086
1991.125,213.611
1991.127,213.673
1991.130,214.441
1991.133,214.147
1991.136,214.233
1991.138,213.676
1991.141,212.49
1991.144,211.462
1991.147,210.937
1991.149,210.487
1991.152,211.315
1991.155,212.954
1991.158,213.188
1991.160,212.665
1991.163,212.063
1991.166,212.326
1991.169,212.739
1991.172,212.279
1991.174,211.349
1991.177,209.82
1991.180,210.274
1991.183,210.486
1991.185,209.95
1991.188,205.555
1991.191,205.877
1991.194,205.715
1991.196,205.367
1991.199,201.662
1991.202,199.473
1991.204,199.779
1991.207,200.776
1991.210,200.011
1991.213,200.786
1991.215,201.259
1991.218,202.654
1991.221,201.262
1991.224,201.966
1991.226,189.649
1991.229,188.506
1991.232,190.319
1991.235,191.27
1991.237,193.551
1991.240,195.115
1991.243,195.236
1991.246,194.389
1991.248,196.323
1991.251,199.432
1991.254,199.682
1991.257,199.525
1991.259,197.229
1991.262,197.837
1991.265,199.054
1991.268,199.391
1991.270,199.826
1991.273,201.161
1991.276,200.736
1991.279,201.79
1991.281,202.442
1991.284,203.275
1991.287,205.382
1991.289,206.44
1991.292,206.782
1991.295,208.01
1991.298,209.287
1991.300,209.241
1991.303,208.433
1991.306,209.688
1991.309,210.388
1991.311,211.371
1991.314,205.031
1991.317,200.251
1991.320,200.097
1991.325,208.013
1991.328,207.286
1991.330,206.518
1991.333,204.562
1991.336,204.478
1991.339,204.32
1991.341,205.682
1991.344,205.727
1991.347,204.034
1991.350,203.798
1991.352,202.284
1991.355,202.216
1991.358,202.097
1991.361,202.53
1991.363,202.141
1991.366,202.148
1991.369,201.981
1991.371,203.011
1991.374,201.967
1991.377,203.957
1991.380,204.362
1991.382,203.902
1991.497,190.052
1991.500,186.82
1991.503,179.932
1991.506,179.868
1991.508,180.787
1991.511,181.64
1991.514,183.057
1991.517,184.182
1991.519,176.051
1991.522,182.017
1991.525,185.075
1991.528,183.469
1991.530,180.887
1991.533,181.736
1991.536,184.714
1991.538,187.16
1991.541,190.98
1991.544,195.364
1991.547,195.301
1991.549,190.326
1991.552,188.089
1991.555,186.231
1991.558,186.25
1991.560,188.217
1991.563,189.336
1991.566,190.892
1991.569,191.286
1991.571,191.39
1991.574,192.984
1991.577,194.065
1991.580,194.888
1991.582,195.728
1991.585,195.087
1991.588,195.407
1991.591,196.895
1991.593,198.718
1991.596,196.695
1991.599,197.28
1991.602,198.124
1991.604,202.037
1991.607,201.976
1991.610,200.791
1991.613,201.69
1991.615,199.123
1991.618,199.583
1991.621,200.497
1991.623,200.528
1991.626,199.745
1991.632,193.797
1991.634,194.816
1991.637,196.533
1991.640,196.429
1991.643,196.4
1991.645,196.606
1991.659,195.114
1991.662,195.838
1991.665,194.181
1991.670,196.575
1991.673,196.66
1991.692,199.49
1991.695,198.234
1991.698,198.851
1991.700,199.179
1991.703,198.051
