Date,OULU (year)
1980.001,96.569
1981.001,93.975
1982.001,93.054
1983.001,96.185
1984.001,97.812
1985.001,102.534
1986.001,106.408
1987.001,107.189
1988.001,100.887
1989.001,91.344
1990.001,90.275
1991.001,90.537
1992.001,98.713
1993.001,103.397
1994.001,104.674
1995.001,106.465
1996.001,108.381
1997.001,109.086
1998.001,106.66
1999.001,103.488
2000.001,96.408
2001.001,97.995
2002.001,96.78
2003.001,95.991
2004.001,101.556
2005.001,102.7
2006.001,107.976
2007.001,110.545
2008.001,111.04
2009.001,113.423
2010.001,110.401
2011.001,106.95
2012.001,104.497
2013.001,103.497
2014.001,102.542
2015.001,102.457
2016.001,107.896
2017.001,109.963
2018.001,111.455
2019.001,112.021
2020.001,112.745
