Date,Err,SSN daily
2006.487,2.9,23.0
2006.489,4.1,42.0
2006.492,3.2,46.0
2006.495,3.2,44.0
2006.497,2.5,38.0
2006.500,2.7,31.0
2006.503,4.2,35.0
2006.506,4.7,36.0
2006.508,2.8,35.0
2006.511,1.9,36.0
2006.514,1.9,36.0
2006.517,1.8,35.0
2006.519,1.7,31.0
2006.522,1.9,15.0
2006.525,1.7,15.0
2006.528,2.7,13.0
2006.530,2.0,0.0
2006.533,2.5,15.0
2006.536,2.4,16.0
2006.538,2.2,20.0
2006.541,2.5,22.0
2006.544,1.2,22.0
2006.547,1.9,24.0
2006.549,2.9,15.0
2006.552,2.0,0.0
2006.555,3.1,15.0
2006.558,2.9,18.0
2006.560,1.4,20.0
2006.563,1.7,18.0
2006.566,1.1,18.0
2006.569,1.0,18.0
2006.571,1.7,16.0
2006.574,1.3,16.0
2006.577,2.6,31.0
2006.580,2.7,27.0
2006.582,2.1,11.0
2006.585,2.8,11.0
2006.588,4.3,15.0
2006.591,2.0,0.0
2006.593,2.0,0.0
2006.596,2.0,0.0
2006.599,2.0,0.0
2006.602,1.8,11.0
2006.604,4.6,26.0
2006.607,2.9,27.0
2006.610,2.4,26.0
2006.613,1.8,24.0
2006.615,2.4,26.0
2006.618,2.3,31.0
2006.621,2.2,31.0
2006.623,2.2,31.0
2006.626,2.2,27.0
2006.629,2.7,31.0
2006.632,2.2,24.0
2006.634,1.3,16.0
2006.637,2.1,26.0
2006.640,1.2,15.0
2006.643,1.1,19.0
2006.645,1.0,19.0
2006.648,1.7,24.0
2006.651,2.2,23.0
2006.654,4.2,34.0
2006.656,3.2,35.0
2006.659,2.2,27.0
2006.662,1.4,19.0
2006.665,3.3,35.0
2006.667,3.0,35.0
2006.670,2.9,16.0
2006.673,2.0,0.0
2006.676,2.0,0.0
2006.678,3.8,26.0
2006.681,3.1,39.0
2006.684,3.4,48.0
2006.687,4.0,48.0
2006.689,4.2,49.0
2006.692,4.1,49.0
2006.695,3.7,44.0
2006.698,2.1,31.0
2006.700,2.0,30.0
2006.703,1.0,15.0
2006.706,0.8,15.0
2006.708,0.8,13.0
2006.711,1.6,25.0
2006.714,0.7,12.0
2006.717,0.8,13.0
2006.719,0.8,13.0
2006.722,0.7,13.0
2006.725,1.1,18.0
2006.728,0.7,13.0
2006.730,1.6,15.0
2006.733,2.6,13.0
2006.736,9.4,16.0
2006.739,4.1,12.0
2006.741,2.4,13.0
2006.744,3.1,36.0
2006.747,2.1,41.0
2006.749,2.9,35.0
2006.752,3.2,33.0
2006.755,1.3,23.0
2006.758,1.2,23.0
2006.760,0.9,24.0
2006.763,1.5,23.0
2006.766,1.2,23.0
2006.769,1.9,21.0
2006.771,3.4,21.0
2006.774,3.0,14.0
2006.777,2.0,0.0
2006.780,2.0,0.0
2006.782,2.0,0.0
2006.785,2.0,0.0
2006.788,2.0,0.0
2006.790,2.0,0.0
2006.793,2.0,0.0
2006.796,2.0,0.0
2006.799,2.9,14.0
2006.801,1.4,14.0
2006.804,1.3,16.0
2006.807,1.5,23.0
2006.810,3.9,38.0
2006.812,3.8,30.0
2006.815,3.4,14.0
2006.818,2.0,0.0
2006.821,4.5,13.0
2006.823,2.9,13.0
2006.826,2.0,0.0
2006.829,0.8,13.0
2006.832,2.0,33.0
2006.834,4.0,53.0
2006.837,6.1,70.0
2006.840,6.1,73.0
2006.843,5.4,65.0
2006.845,3.7,53.0
2006.848,2.8,40.0
2006.851,2.4,32.0
2006.854,3.3,43.0
2006.856,3.2,30.0
2006.859,1.1,15.0
2006.862,1.6,18.0
2006.865,2.1,22.0
2006.867,2.9,35.0
2006.870,2.6,47.0
2006.873,2.6,45.0
2006.875,2.3,52.0
2006.878,2.1,47.0
2006.881,2.4,47.0
2006.884,3.2,45.0
2006.886,2.9,30.0
2006.889,2.0,0.0
2006.892,2.0,0.0
2006.895,6.5,12.0
