date,Err,SSN monthly
1950-01-15,8.0,143.9
1950-02-15,7.7,134.3
1950-03-15,8.3,155.4
1950-04-15,8.5,160.6
1950-05-15,8.2,150.5
1950-06-15,7.3,118.3
1950-07-15,7.6,128.9
1950-08-15,7.3,120.6
1950-09-15,5.7,72.7
1950-10-15,6.2,87.0
1950-11-15,5.9,77.7
1950-12-15,5.9,76.7
1951-01-15,6.2,85.0
1951-02-15,6.1,84.8
1951-03-15,5.9,79.3
1951-04-15,7.7,131.7
1951-05-15,8.3,153.7
1951-06-15,8.0,142.4
1951-07-15,6.2,87.2
1951-08-15,6.2,86.5
1951-09-15,7.2,117.7
1951-10-15,5.7,73.3
1951-11-15,5.7,74.2
1951-12-15,5.4,65.0
1952-01-15,5.1,57.9
1952-02-15,3.8,32.4
1952-03-15,3.8,31.5
1952-04-15,4.3,41.7
1952-05-15,3.9,33.6
1952-06-15,4.8,52.0
1952-07-15,5.0,56.1
1952-08-15,5.9,77.8
1952-09-15,4.3,40.4
1952-10-15,3.9,34.2
1952-11-15,3.8,31.8
1952-12-15,4.7,48.9
1953-01-15,4.1,37.9
1953-02-15,1.7,5.9
1953-03-15,2.6,14.7
1953-04-15,4.2,39.6
1953-05-15,2.9,18.3
1953-06-15,3.8,31.5
1953-07-15,2.4,12.7
1953-08-15,3.9,33.6
1953-09-15,3.6,28.0
1953-10-15,2.4,12.3
1953-11-15,1.1,2.5
1953-12-15,1.3,3.9
1954-01-15,0.4,0.4
1954-02-15,0.6,0.8
1954-03-15,2.7,15.8
1954-04-15,1.1,2.7
1954-05-15,0.7,1.2
1954-06-15,0.4,0.4
1954-07-15,1.9,7.3
1954-08-15,2.4,12.6
1954-09-15,1.0,2.3
1954-10-15,2.2,10.5
1954-11-15,2.5,13.4
1954-12-15,2.3,11.3
1955-01-15,3.9,33.4
1955-02-15,3.7,29.9
1955-03-15,1.9,7.3
1955-04-15,2.7,16.4
1955-05-15,4.3,41.3
1955-06-15,4.5,45.2
1955-07-15,4.1,38.2
1955-08-15,5.1,58.0
1955-09-15,5.2,60.8
1955-10-15,6.1,83.0
1955-11-15,7.5,126.3
1955-12-15,6.9,108.8
1956-01-15,6.8,104.1
1956-02-15,8.9,175.6
1956-03-15,8.6,167.7
1956-04-15,8.4,156.7
1956-05-15,9.3,193.4
1956-06-15,8.6,165.1
1956-07-15,9.0,182.7
1956-08-15,10.4,240.2
1956-09-15,10.5,245.4
1956-10-15,9.9,219.9
1956-11-15,11.3,285.0
1956-12-15,11.0,272.0
1957-01-15,10.2,233.7
1957-02-15,9.1,184.5
1957-03-15,10.0,222.8
1957-04-15,10.5,248.0
1957-05-15,10.2,233.0
1957-06-15,11.3,284.3
1957-07-15,10.9,265.1
1957-08-15,10.0,223.7
1957-09-15,12.3,334.0
1957-10-15,12.7,359.4
1957-11-15,11.6,298.6
1957-12-15,12.3,339.0
1958-01-15,11.3,286.7
1958-02-15,10.2,233.6
1958-03-15,11.0,270.0
1958-04-15,11.2,277.6
1958-05-15,10.5,248.2
1958-06-15,10.4,242.9
1958-07-15,11.0,271.0
1958-08-15,11.3,283.5
1958-09-15,11.3,285.1
1958-10-15,10.7,256.9
1958-11-15,9.8,215.6
1958-12-15,10.9,265.7
1959-01-15,11.7,307.7
1959-02-15,9.5,202.6
1959-03-15,10.9,263.0
1959-04-15,10.2,231.3
1959-05-15,10.4,243.6
1959-06-15,10.3,238.9
1959-07-15,9.7,211.9
1959-08-15,11.3,282.6
1959-09-15,9.6,205.6
1959-10-15,8.4,157.7
1959-11-15,8.9,175.6
1959-12-15,8.9,177.1
1960-01-15,9.6,207.2
1960-02-15,8.2,149.9
1960-03-15,8.0,144.6
1960-04-15,8.8,172.7
1960-05-15,8.7,169.3
1960-06-15,8.3,156.0
1960-07-15,8.8,172.4
1960-08-15,9.2,190.0
1960-09-15,9.0,180.1
1960-10-15,7.2,117.3
1960-11-15,7.5,126.9
1960-12-15,7.4,121.2
1961-01-15,6.0,82.1
1961-02-15,5.4,65.4
1961-03-15,5.8,75.2
1961-04-15,6.2,86.9
1961-05-15,5.7,72.3
1961-06-15,7.0,109.5
1961-07-15,6.6,99.3
1961-08-15,6.0,79.2
1961-09-15,6.3,90.1
1961-10-15,4.9,53.7
1961-11-15,4.6,46.5
1961-12-15,5.0,56.9
1962-01-15,5.0,55.1
1962-02-15,5.7,71.7
1962-03-15,5.4,64.9
1962-04-15,5.4,65.9
1962-05-15,5.2,61.9
1962-06-15,5.2,59.6
1962-07-15,3.8,31.4
1962-08-15,3.8,31.5
1962-09-15,5.7,72.7
1962-10-15,5.0,56.1
1962-11-15,4.2,38.8
1962-12-15,3.9,33.2
1963-01-15,3.6,28.7
1963-02-15,4.0,35.2
1963-03-15,3.4,24.8
1963-04-15,4.3,41.7
1963-05-15,5.2,61.1
1963-06-15,4.8,51.2
1963-07-15,3.6,28.7
1963-08-15,4.6,47.5
1963-09-15,5.0,55.2
1963-10-15,4.7,50.1
1963-11-15,3.9,33.7
1963-12-15,3.2,21.6
1964-01-15,3.2,22.6
1964-02-15,3.4,25.3
1964-03-15,3.3,24.1
1964-04-15,2.5,12.9
1964-05-15,2.6,14.3
1964-06-15,2.5,13.5
1964-07-15,1.5,4.8
1964-08-15,2.5,13.8
1964-09-15,1.8,7.0
1964-10-15,2.1,9.2
1964-11-15,2.3,11.1
1964-12-15,3.2,22.1
1965-01-15,3.4,25.4
1965-02-15,3.1,20.8
1965-03-15,2.8,17.5
1965-04-15,2.2,10.2
1965-05-15,3.9,34.5
1965-06-15,3.3,23.3
1965-07-15,2.8,17.3
1965-08-15,2.5,13.3
1965-09-15,3.4,24.5
1965-10-15,3.6,29.1
1965-11-15,3.2,22.8
1965-12-15,3.4,24.7
1966-01-15,4.3,40.3
1966-02-15,4.0,35.3
1966-03-15,4.0,36.4
1966-04-15,5.5,69.0
1966-05-15,5.3,64.2
1966-06-15,5.5,67.7
1966-07-15,6.0,80.2
1966-08-15,5.7,72.6
1966-09-15,5.6,71.1
1966-10-15,6.0,81.2
1966-11-15,6.0,81.0
1966-12-15,6.7,99.8
1967-01-15,8.4,157.0
1967-02-15,7.7,132.6
1967-03-15,8.4,158.3
1967-04-15,6.6,98.4
1967-05-15,7.4,122.5
1967-06-15,6.5,95.4
1967-07-15,7.6,129.5
1967-08-15,8.2,151.8
1967-09-15,7.0,108.7
1967-10-15,7.5,125.0
1967-11-15,7.7,133.6
1967-12-15,8.9,179.0
1968-01-15,8.8,172.5
1968-02-15,8.4,158.5
1968-03-15,7.6,130.5
1968-04-15,7.2,115.0
1968-05-15,9.0,180.0
1968-06-15,8.3,156.2
1968-07-15,7.8,136.2
1968-08-15,8.3,154.8
1968-09-15,8.6,166.0
1968-10-15,8.2,152.5
1968-11-15,7.4,121.7
1968-12-15,8.3,155.5
1969-01-15,8.1,147.8
1969-02-15,8.7,170.5
1969-03-15,9.3,192.3
1969-04-15,8.2,151.1
1969-05-15,8.7,169.9
1969-06-15,8.2,150.1
1969-07-15,7.8,137.1
1969-08-15,7.9,138.8
1969-09-15,7.6,129.3
1969-10-15,7.8,135.4
1969-11-15,7.7,132.4
1969-12-15,7.9,138.6
1970-01-15,8.4,157.9
1970-02-15,9.0,180.8
1970-03-15,8.1,145.7
1970-04-15,8.3,155.1
1970-05-15,9.0,180.5
1970-06-15,8.2,151.3
1970-07-15,8.4,159.3
1970-08-15,7.7,131.7
1970-09-15,7.9,140.8
1970-10-15,7.4,122.6
1970-11-15,7.8,134.8
1970-12-15,7.2,118.2
1971-01-15,7.6,129.2
1971-02-15,7.0,111.8
1971-03-15,6.2,85.9
1971-04-15,6.7,101.6
1971-05-15,6.0,81.5
1971-06-15,5.6,70.7
1971-07-15,7.1,114.7
1971-08-15,6.2,87.0
1971-09-15,5.6,71.3
1971-10-15,5.7,73.4
1971-11-15,6.3,89.5
1971-12-15,7.2,116.5
1972-01-15,6.2,87.0
1972-02-15,7.5,125.3
1972-03-15,7.1,113.5
1972-04-15,6.3,89.6
1972-05-15,7.1,113.9
1972-06-15,7.4,124.7
1972-07-15,6.9,108.3
1972-08-15,7.0,108.9
1972-09-15,6.4,90.7
1972-10-15,6.2,86.9
1972-11-15,5.2,59.2
1972-12-15,5.4,64.3
1973-01-15,5.2,61.8
1973-02-15,5.2,60.9
1973-03-15,5.4,65.4
1973-04-15,6.0,81.8
1973-05-15,5.2,60.3
1973-06-15,5.0,56.1
1973-07-15,3.9,33.2
1973-08-15,4.1,36.6
1973-09-15,6.1,84.1
1973-10-15,4.4,43.7
1973-11-15,3.9,34.3
1973-12-15,3.9,33.3
1974-01-15,4.2,39.4
1974-02-15,4.1,37.3
1974-03-15,3.8,30.9
1974-04-15,5.1,57.5
1974-05-15,5.0,56.3
1974-06-15,4.8,51.5
1974-07-15,5.9,79.1
1974-08-15,4.6,47.9
1974-09-15,5.0,57.2
1974-10-15,5.5,67.2
1974-11-15,4.0,35.9
1974-12-15,3.7,29.6
1975-01-15,3.5,27.3
1975-02-15,2.8,16.7
1975-03-15,2.8,16.9
1975-04-15,1.9,7.7
1975-05-15,2.5,13.1
1975-06-15,2.8,16.7
