date,Err,SSN smoothed
1950-01-15,8.5,162.8
1950-02-15,8.4,158.5
1950-03-15,8.2,150.7
1950-04-15,7.9,141.0
1950-05-15,7.7,131.6
1950-06-15,7.4,122.6
1950-07-15,7.2,116.4
1950-08-15,7.1,111.9
1950-09-15,6.9,106.7
1950-10-15,6.8,102.3
1950-11-15,6.7,101.2
1950-12-15,6.8,102.4
1951-01-15,6.7,101.6
1951-02-15,6.6,98.5
1951-03-15,6.6,98.9
1951-04-15,6.7,100.2
1951-05-15,6.7,99.5
1951-06-15,6.6,98.9
1951-07-15,6.6,97.3
1951-08-15,6.5,94.0
1951-09-15,6.3,89.8
1951-10-15,6.1,84.0
1951-11-15,5.8,75.3
1951-12-15,5.4,66.5
1952-01-15,5.2,61.5
1952-02-15,5.2,59.8
1952-03-15,5.0,56.2
1952-04-15,4.8,51.4
1952-05-15,4.6,48.0
1952-06-15,4.5,45.5
1952-07-15,4.4,44.0
1952-08-15,4.3,42.1
1952-09-15,4.3,40.3
1952-10-15,4.2,39.5
1952-11-15,4.2,38.8
1952-12-15,4.1,37.3
1953-01-15,4.0,34.6
1953-02-15,3.7,31.0
1953-03-15,3.6,28.6
1953-04-15,3.5,27.2
1953-05-15,3.4,25.0
1953-06-15,3.2,22.0
1953-07-15,2.9,18.5
1953-08-15,2.8,16.7
1953-09-15,2.7,16.6
1953-10-15,2.6,15.1
1953-11-15,2.4,12.8
1953-12-15,2.2,10.8
1954-01-15,2.1,9.3
1954-02-15,1.9,8.2
1954-03-15,1.7,6.3
1954-04-15,1.5,5.1
1954-05-15,1.6,5.5
1954-06-15,1.7,6.3
1954-07-15,1.9,7.9
1954-08-15,2.2,10.5
1954-09-15,2.3,11.4
1954-10-15,2.3,11.6
1954-11-15,2.5,13.8
1954-12-15,2.8,17.4
1955-01-15,3.1,20.5
1955-02-15,3.3,23.7
1955-03-15,3.6,28.0
1955-04-15,3.9,33.5
1955-05-15,4.3,41.2
1955-06-15,4.7,50.0
1955-07-15,5.0,57.0
1955-08-15,5.4,66.0
1955-09-15,5.9,78.8
1955-10-15,6.4,91.3
1955-11-15,6.8,103.5
1955-12-15,7.2,114.8
1956-01-15,7.5,125.8
1956-02-15,7.9,139.4
1956-03-15,8.3,154.7
1956-04-15,8.7,168.1
1956-05-15,9.0,180.4
1956-06-15,9.3,193.9
1956-07-15,9.6,206.1
1956-08-15,9.7,211.8
1956-09-15,9.8,214.5
1956-10-15,9.9,220.6
1956-11-15,10.1,226.0
1956-12-15,10.2,232.7
1957-01-15,10.4,241.1
1957-02-15,10.4,243.8
1957-03-15,10.5,246.8
1957-04-15,10.7,256.3
1957-05-15,10.8,262.7
1957-06-15,10.9,266.1
1957-07-15,11.0,271.1
1957-08-15,11.1,275.3
1957-09-15,11.2,279.3
1957-10-15,11.3,282.5
1957-11-15,11.3,284.4
1957-12-15,11.3,283.3
1958-01-15,11.2,281.8
1958-02-15,11.3,284.5
1958-03-15,11.3,285.0
1958-04-15,11.2,278.7
