date,Tilt L model - N  
2008-02-21,25.8
2008-03-19,28.2
2008-04-16,27.7
2008-05-13,28.8
2008-06-09,30.9
2008-07-06,26.6
2008-08-03,28.2
2008-08-30,30.7
2008-09-26,24.1
2008-10-24,20.6
2008-11-20,28.1
2008-12-17,21.0
2009-01-13,16.7
2009-02-10,19.7
2009-03-09,17.7
2009-04-05,13.3
2009-05-03,11.9
2009-05-30,24.0
2009-06-26,24.9
2009-07-23,23.9
2009-08-20,13.8
2009-09-16,13.5
2009-10-13,15.3
2009-11-09,30.9
2009-12-07,38.4
2010-01-03,51.7
2010-01-30,51.2
2010-02-27,52.7
2010-03-26,48.9
2010-04-22,45.1
2010-05-19,46.9
2010-06-16,31.7
2010-07-13,48.6
2010-08-09,44.4
2010-09-05,50.7
2010-10-03,47.1
2010-10-30,40.9
2010-11-26,54.5
2010-12-24,54.1
2011-01-20,61.4
2011-02-16,67.4
2011-03-15,70.9
2011-04-12,75.0
2011-05-09,70.5
2011-06-05,69.2
2011-07-03,65.4
2011-07-30,68.8
2011-08-26,69.1
2011-09-22,75.1
2011-10-20,73.9
2011-11-16,75.1
2011-12-13,72.2
2012-01-09,65.7
2012-02-06,74.1
2012-03-04,69.7
2012-03-31,64.2
2012-04-28,74.7
2012-05-25,73.7
2012-06-21,74.2
2012-07-18,74.5
2012-08-15,74.9
2012-09-11,74.9
2012-10-08,74.1
2012-11-04,68.6
2012-12-02,72.9
2012-12-29,72.4
2013-01-25,75.0
2013-02-22,69.2
2013-03-21,72.3
2013-04-17,65.5
2013-05-14,62.6
2013-06-11,69.3
2013-07-08,75.0
2013-08-04,69.8
2013-08-31,74.9
2013-09-28,74.5
2013-10-25,71.3
2013-11-21,73.8
2013-12-19,74.1
2014-01-15,72.6
2014-02-11,73.8
2014-03-10,75.0
2014-04-07,74.3
2014-05-04,65.3
2014-05-31,54.4
2014-06-28,58.5
2014-07-25,65.9
2014-08-21,62.2
2014-09-17,74.7
2014-10-15,74.3
2014-11-11,40.2
2014-12-08,45.8
2015-01-04,48.6
2015-02-01,45.6
2015-02-28,47.3
2015-03-27,44.4
2015-04-24,44.4
2015-05-21,58.5
2015-06-17,61.5
2015-07-14,56.7
2015-08-11,59.0
2015-09-07,59.2
2015-10-04,60.3
2015-10-31,58.0
2015-11-28,57.0
2015-12-25,56.2
2016-01-21,55.6
2016-02-18,50.9
2016-03-16,53.4
2016-04-12,51.1
2016-05-09,50.1
2016-06-06,48.4
2016-07-03,43.8
2016-07-30,44.4
2016-08-27,40.9
2016-09-23,42.9
2016-10-20,43.8
2016-11-16,41.7
2016-12-14,38.3
2017-01-10,39.2
2017-02-06,37.0
2017-03-05,31.5
2017-04-02,32.8
2017-04-29,37.8
2017-05-26,38.2
2017-06-23,41.4
2017-07-20,36.2
2017-08-16,26.1
2017-09-12,38.8
2017-10-10,40.6
2017-11-06,38.0
2017-12-03,39.0
2017-12-30,36.5
2018-01-27,35.4
2018-02-23,34.7
2018-03-22,25.6
2018-04-19,23.4
2018-05-16,23.1
2018-06-12,21.0
2018-07-09,26.3
2018-08-06,26.3
2018-09-02,25.0
2018-09-29,25.1
2018-10-26,24.4
2018-11-23,18.2
2018-12-20,22.2
2019-01-16,17.2
2019-02-13,14.2
2019-03-12,14.8
2019-04-08,14.3
2019-05-05,22.7
2019-06-02,19.4
2019-06-29,17.6
2019-07-26,15.9
2019-08-23,12.6
2019-09-19,12.6
2019-10-16,10.9
2019-11-12,11.2
2019-12-10,7.9
2020-01-06,6.9
2020-02-02,4.8
2020-02-29,5.6
2020-03-28,7.9
2020-04-24,6.4
2020-05-21,10.8
2020-06-18,11.3
2020-07-15,13.8
2020-08-11,14.5
2020-09-07,13.9
2020-10-05,13.0
2020-11-01,27.2
2020-11-28,31.3
2020-12-25,22.0
2021-01-22,16.5
2021-02-18,14.1
2021-03-17,18.4
2021-04-14,18.7
2021-05-11,21.4
