date,Tilt L model - S  
2008-02-21,-44.4
2008-03-19,-43.3
2008-04-16,-43.5
2008-05-13,-40.5
2008-06-09,-37.5
2008-07-06,-33.4
2008-08-03,-31.7
2008-08-30,-33.0
2008-09-26,-28.1
2008-10-24,-28.2
2008-11-20,-27.1
2008-12-17,-23.3
2009-01-13,-26.8
2009-02-10,-28.5
2009-03-09,-28.5
2009-04-05,-27.2
2009-05-03,-21.0
2009-05-30,-18.3
2009-06-26,-17.8
2009-07-23,-17.0
2009-08-20,-11.8
2009-09-16,-10.5
2009-10-13,-4.9
2009-11-09,-15.2
2009-12-07,-28.5
2010-01-03,-42.2
2010-01-30,-36.3
2010-02-27,-31.6
2010-03-26,-34.0
2010-04-22,-27.5
2010-05-19,-27.6
2010-06-16,-24.1
2010-07-13,-42.7
2010-08-09,-38.1
2010-09-05,-48.5
2010-10-03,-40.0
2010-10-30,-40.0
2010-11-26,-43.1
2010-12-24,-42.3
2011-01-20,-45.8
2011-02-16,-44.7
2011-03-15,-59.4
2011-04-12,-64.8
2011-05-09,-57.0
2011-06-05,-57.8
2011-07-03,-63.6
2011-07-30,-65.4
2011-08-26,-64.3
2011-09-22,-67.1
2011-10-20,-65.3
2011-11-16,-58.7
2011-12-13,-65.4
2012-01-09,-68.5
2012-02-06,-65.9
2012-03-04,-51.2
2012-03-31,-51.7
2012-04-28,-61.2
2012-05-25,-74.9
2012-06-21,-75.1
2012-07-18,-73.3
2012-08-15,-71.2
2012-09-11,-68.3
2012-10-08,-72.7
2012-11-04,-74.3
2012-12-02,-50.9
2012-12-29,-73.8
2013-01-25,-68.0
2013-02-22,-60.5
2013-03-21,-74.8
2013-04-17,-74.8
2013-05-14,-75.1
2013-06-11,-74.0
2013-07-08,-70.9
2013-08-04,-66.9
2013-08-31,-61.7
2013-09-28,-66.3
2013-10-25,-63.0
2013-11-21,-60.0
2013-12-19,-58.9
2014-01-15,-56.3
2014-02-11,-63.5
2014-03-10,-45.9
2014-04-07,-51.1
2014-05-04,-48.1
2014-05-31,-43.2
2014-06-28,-37.7
2014-07-25,-51.8
2014-08-21,-57.9
2014-09-17,-63.6
2014-10-15,-70.7
2014-11-11,-64.8
2014-12-08,-61.8
2015-01-04,-61.8
2015-02-01,-55.6
2015-02-28,-51.1
2015-03-27,-44.8
2015-04-24,-42.2
2015-05-21,-44.4
2015-06-17,-43.9
2015-07-14,-38.2
2015-08-11,-40.6
2015-09-07,-38.2
2015-10-04,-40.5
2015-10-31,-44.7
2015-11-28,-44.1
2015-12-25,-44.3
2016-01-21,-46.8
2016-02-18,-44.1
2016-03-16,-42.3
2016-04-12,-35.9
2016-05-09,-35.2
2016-06-06,-36.5
2016-07-03,-35.0
2016-07-30,-36.6
2016-08-27,-37.4
2016-09-23,-40.6
2016-10-20,-43.0
2016-11-16,-41.6
2016-12-14,-40.1
2017-01-10,-42.0
2017-02-06,-33.6
2017-03-05,-30.5
2017-04-02,-25.0
2017-04-29,-25.0
2017-05-26,-24.2
2017-06-23,-22.7
2017-07-20,-18.4
2017-08-16,-14.7
2017-09-12,-18.2
2017-10-10,-20.6
2017-11-06,-20.4
2017-12-03,-19.3
2017-12-30,-14.8
2018-01-27,-18.0
2018-02-23,-13.6
2018-03-22,-14.4
2018-04-19,-14.0
2018-05-16,-9.9
2018-06-12,-14.3
2018-07-09,-24.3
2018-08-06,-19.9
2018-09-02,-22.5
2018-09-29,-27.5
2018-10-26,-26.4
2018-11-23,-24.1
2018-12-20,-22.8
2019-01-16,-25.1
2019-02-13,-18.1
2019-03-12,-23.9
2019-04-08,-27.1
2019-05-05,-27.4
2019-06-02,-22.4
2019-06-29,-22.0
2019-07-26,-21.3
2019-08-23,-22.4
2019-09-19,-20.9
2019-10-16,-19.8
2019-11-12,-18.1
2019-12-10,-19.3
2020-01-06,-14.6
2020-02-02,-13.3
2020-02-29,-9.5
2020-03-28,-9.6
2020-04-24,-5.8
2020-05-21,-18.2
2020-06-18,-6.8
2020-07-15,-16.2
2020-08-11,-13.5
2020-09-07,-15.1
2020-10-05,-20.8
2020-11-01,-16.2
2020-11-28,-43.2
2020-12-25,-24.3
2021-01-22,-30.0
2021-02-18,-29.3
2021-03-17,-32.9
2021-04-14,-29.6
2021-05-11,-28.3
