date,Tilt R model - Avg  
2008-02-21,19.6
2008-03-19,17.6
2008-04-16,16.1
2008-05-13,14.8
2008-06-09,15.1
2008-07-06,12.8
2008-08-03,12.8
2008-08-30,14.8
2008-09-26,9.7
2008-10-24,9.0
2008-11-20,10.7
2008-12-17,8.1
2009-01-13,9.6
2009-02-10,10.4
2009-03-09,9.7
2009-04-05,7.7
2009-05-03,4.8
2009-05-30,6.6
2009-06-26,7.8
2009-07-23,9.3
2009-08-20,5.8
2009-09-16,5.2
2009-10-13,4.5
2009-11-09,9.8
2009-12-07,17.3
2010-01-03,25.1
2010-01-30,22.1
2010-02-27,24.0
2010-03-26,23.8
2010-04-22,21.6
2010-05-19,26.2
2010-06-16,23.4
2010-07-13,32.6
2010-08-09,25.7
2010-09-05,33.0
2010-10-03,23.6
2010-10-30,21.4
2010-11-26,17.8
2010-12-24,36.4
2011-01-20,54.3
2011-02-16,54.9
2011-03-15,62.4
2011-04-12,64.1
2011-05-09,56.3
2011-06-05,45.2
2011-07-03,42.3
2011-07-30,47.8
2011-08-26,47.0
2011-09-22,57.2
2011-10-20,49.0
2011-11-16,55.8
2011-12-13,60.9
2012-01-09,60.7
2012-02-06,63.5
2012-03-04,58.2
2012-03-31,54.9
2012-04-28,55.9
2012-05-25,60.3
2012-06-21,68.3
2012-07-18,66.4
2012-08-15,64.8
2012-09-11,66.1
2012-10-08,70.4
2012-11-04,67.5
2012-12-02,68.7
2012-12-29,64.2
2013-01-25,70.3
2013-02-22,73.2
2013-03-21,69.2
2013-04-17,68.7
2013-05-14,67.9
2013-06-11,61.9
2013-07-08,67.7
2013-08-04,67.6
2013-08-31,59.6
2013-09-28,60.8
2013-10-25,57.6
2013-11-21,59.9
2013-12-19,63.1
2014-01-15,66.3
2014-02-11,70.5
2014-03-10,54.4
2014-04-07,48.9
2014-05-04,28.9
2014-05-31,25.4
2014-06-28,24.8
2014-07-25,40.2
2014-08-21,49.4
2014-09-17,65.5
2014-10-15,64.9
2014-11-11,41.8
2014-12-08,45.1
2015-01-04,41.5
2015-02-01,36.1
2015-02-28,31.9
2015-03-27,24.0
2015-04-24,27.9
2015-05-21,35.9
2015-06-17,37.2
2015-07-14,31.9
2015-08-11,33.7
2015-09-07,32.9
2015-10-04,32.1
2015-10-31,30.8
2015-11-28,29.3
2015-12-25,34.2
2016-01-21,31.7
2016-02-18,25.7
2016-03-16,28.9
2016-04-12,25.8
2016-05-09,28.1
2016-06-06,25.6
2016-07-03,22.0
2016-07-30,25.3
2016-08-27,26.1
2016-09-23,28.7
2016-10-20,27.0
2016-11-16,24.1
2016-12-14,19.6
2017-01-10,21.3
2017-02-06,16.4
2017-03-05,13.1
2017-04-02,11.7
2017-04-29,13.0
2017-05-26,13.9
2017-06-23,18.5
2017-07-20,15.1
2017-08-16,9.7
2017-09-12,17.3
2017-10-10,16.4
2017-11-06,15.0
2017-12-03,14.0
2017-12-30,10.8
2018-01-27,10.3
2018-02-23,9.5
2018-03-22,6.8
2018-04-19,6.2
2018-05-16,6.3
2018-06-12,7.0
2018-07-09,11.6
2018-08-06,8.8
2018-09-02,8.7
2018-09-29,10.3
2018-10-26,10.4
2018-11-23,8.0
2018-12-20,7.6
2019-01-16,7.5
2019-02-13,6.6
2019-03-12,7.7
2019-04-08,8.2
2019-05-05,8.5
2019-06-02,6.5
2019-06-29,6.9
2019-07-26,8.7
2019-08-23,7.3
2019-09-19,5.7
2019-10-16,5.3
2019-11-12,5.9
2019-12-10,6.9
2020-01-06,4.3
2020-02-02,3.0
2020-02-29,3.0
2020-03-28,3.3
2020-04-24,2.1
2020-05-21,5.2
2020-06-18,4.0
2020-07-15,6.6
2020-08-11,6.3
2020-09-07,8.2
2020-10-05,10.7
2020-11-01,13.2
2020-11-28,14.8
2020-12-25,8.5
2021-01-22,9.3
2021-02-18,11.3
2021-03-17,11.9
2021-04-14,11.9
2021-05-11,12.5
