date,Tilt R model - N  
2008-02-21,11.0
2008-03-19,10.0
2008-04-16,8.6
2008-05-13,11.1
2008-06-09,14.4
2008-07-06,11.9
2008-08-03,12.7
2008-08-30,15.4
2008-09-26,11.3
2008-10-24,8.6
2008-11-20,10.7
2008-12-17,5.7
2009-01-13,2.7
2009-02-10,3.4
2009-03-09,1.8
2009-04-05,-0.2
2009-05-03,-0.9
2009-05-30,6.3
2009-06-26,9.1
2009-07-23,12.3
2009-08-20,8.1
2009-09-16,8.3
2009-10-13,7.9
2009-11-09,10.0
2009-12-07,18.9
2010-01-03,28.0
2010-01-30,23.7
2010-02-27,24.5
2010-03-26,25.2
2010-04-22,24.5
2010-05-19,30.5
2010-06-16,24.4
2010-07-13,34.6
2010-08-09,27.2
2010-09-05,31.0
2010-10-03,23.4
2010-10-30,16.9
2010-11-26,11.5
2010-12-24,43.2
2011-01-20,74.7
2011-02-16,71.8
2011-03-15,73.2
2011-04-12,74.4
2011-05-09,69.7
2011-06-05,51.1
2011-07-03,41.9
2011-07-30,50.0
2011-08-26,47.9
2011-09-22,59.9
2011-10-20,49.8
2011-11-16,68.6
2011-12-13,73.2
2012-01-09,72.6
2012-02-06,73.7
2012-03-04,74.6
2012-03-31,66.2
2012-04-28,63.5
2012-05-25,57.2
2012-06-21,70.5
2012-07-18,67.5
2012-08-15,63.5
2012-09-11,73.0
2012-10-08,68.3
2012-11-04,59.9
2012-12-02,63.4
2012-12-29,56.0
2013-01-25,69.9
2013-02-22,72.8
2013-03-21,64.9
2013-04-17,63.6
2013-05-14,74.9
2013-06-11,72.9
2013-07-08,70.0
2013-08-04,71.1
2013-08-31,63.2
2013-09-28,59.0
2013-10-25,57.7
2013-11-21,74.9
2013-12-19,74.3
2014-01-15,74.5
2014-02-11,74.7
2014-03-10,69.5
2014-04-07,51.2
2014-05-04,18.5
2014-05-31,17.2
2014-06-28,22.3
2014-07-25,31.9
2014-08-21,45.7
2014-09-17,71.0
2014-10-15,64.6
2014-11-11,27.6
2014-12-08,36.6
2015-01-04,31.7
2015-02-01,28.1
2015-02-28,26.5
2015-03-27,16.0
2015-04-24,25.3
2015-05-21,37.4
2015-06-17,45.4
2015-07-14,39.0
2015-08-11,41.9
2015-09-07,42.1
2015-10-04,40.1
2015-10-31,33.2
2015-11-28,30.8
2015-12-25,38.4
2016-01-21,31.0
2016-02-18,23.3
2016-03-16,30.4
2016-04-12,28.9
2016-05-09,32.6
2016-06-06,27.5
2016-07-03,19.2
2016-07-30,24.6
2016-08-27,25.8
2016-09-23,30.0
2016-10-20,26.4
2016-11-16,24.2
2016-12-14,16.5
2017-01-10,19.3
2017-02-06,16.2
2017-03-05,11.7
2017-04-02,11.1
2017-04-29,15.6
2017-05-26,17.0
2017-06-23,23.7
2017-07-20,17.9
2017-08-16,9.3
2017-09-12,23.3
2017-10-10,21.7
2017-11-06,19.2
2017-12-03,17.0
2017-12-30,11.6
2018-01-27,9.3
2018-02-23,10.1
2018-03-22,4.2
2018-04-19,5.8
2018-05-16,9.7
2018-06-12,9.1
2018-07-09,11.5
2018-08-06,12.0
2018-09-02,14.0
2018-09-29,13.0
2018-10-26,12.8
2018-11-23,7.4
2018-12-20,7.0
2019-01-16,4.4
2019-02-13,4.6
2019-03-12,6.2
2019-04-08,6.3
2019-05-05,7.5
2019-06-02,6.6
2019-06-29,7.6
2019-07-26,10.6
2019-08-23,9.8
2019-09-19,9.1
2019-10-16,7.3
2019-11-12,7.0
2019-12-10,6.0
2020-01-06,2.0
2020-02-02,1.3
2020-02-29,2.5
2020-03-28,2.7
2020-04-24,1.8
2020-05-21,5.0
2020-06-18,7.4
2020-07-15,7.7
2020-08-11,9.1
2020-09-07,10.6
2020-10-05,9.9
2020-11-01,17.1
2020-11-28,10.0
2020-12-25,4.6
2021-01-22,5.3
2021-02-18,9.0
2021-03-17,9.8
2021-04-14,9.8
2021-05-11,12.1
