date,Tilt R model - S  
2008-02-21,-28.1
2008-03-19,-25.3
2008-04-16,-23.5
2008-05-13,-18.5
2008-06-09,-15.8
2008-07-06,-13.7
2008-08-03,-13.0
2008-08-30,-14.1
2008-09-26,-8.0
2008-10-24,-9.3
2008-11-20,-10.7
2008-12-17,-10.6
2009-01-13,-16.4
2009-02-10,-17.4
2009-03-09,-17.7
2009-04-05,-15.5
2009-05-03,-10.5
2009-05-30,-6.8
2009-06-26,-6.5
2009-07-23,-6.3
2009-08-20,-3.5
2009-09-16,-2.0
2009-10-13,-1.1
2009-11-09,-9.6
2009-12-07,-15.8
2010-01-03,-22.2
2010-01-30,-20.6
2010-02-27,-23.6
2010-03-26,-22.3
2010-04-22,-18.6
2010-05-19,-22.0
2010-06-16,-22.3
2010-07-13,-30.5
2010-08-09,-24.1
2010-09-05,-35.1
2010-10-03,-23.9
2010-10-30,-26.0
2010-11-26,-24.1
2010-12-24,-29.6
2011-01-20,-33.8
2011-02-16,-38.1
2011-03-15,-51.6
2011-04-12,-53.7
2011-05-09,-42.8
2011-06-05,-39.4
2011-07-03,-42.7
2011-07-30,-45.6
2011-08-26,-46.0
2011-09-22,-54.6
2011-10-20,-48.3
2011-11-16,-43.0
2011-12-13,-48.6
2012-01-09,-48.9
2012-02-06,-53.2
2012-03-04,-41.9
2012-03-31,-43.7
2012-04-28,-48.3
2012-05-25,-63.4
2012-06-21,-66.1
2012-07-18,-65.2
2012-08-15,-66.1
2012-09-11,-59.3
2012-10-08,-72.4
2012-11-04,-75.0
2012-12-02,-73.9
2012-12-29,-72.4
2013-01-25,-70.8
2013-02-22,-73.6
2013-03-21,-73.6
2013-04-17,-73.7
2013-05-14,-60.8
2013-06-11,-50.9
2013-07-08,-65.5
2013-08-04,-64.2
2013-08-31,-55.9
2013-09-28,-62.5
2013-10-25,-57.6
2013-11-21,-44.9
2013-12-19,-51.9
2014-01-15,-58.0
2014-02-11,-66.2
2014-03-10,-39.4
2014-04-07,-46.5
2014-05-04,-39.4
2014-05-31,-33.6
2014-06-28,-27.3
2014-07-25,-48.6
2014-08-21,-53.1
2014-09-17,-60.0
2014-10-15,-65.1
2014-11-11,-56.0
2014-12-08,-53.7
2015-01-04,-51.2
2015-02-01,-44.0
2015-02-28,-37.4
2015-03-27,-32.0
2015-04-24,-30.5
2015-05-21,-34.5
2015-06-17,-29.0
2015-07-14,-24.8
2015-08-11,-25.4
2015-09-07,-23.7
2015-10-04,-24.0
2015-10-31,-28.3
2015-11-28,-27.7
2015-12-25,-29.9
2016-01-21,-32.4
2016-02-18,-28.0
2016-03-16,-27.5
2016-04-12,-22.6
2016-05-09,-23.6
2016-06-06,-23.8
2016-07-03,-24.9
2016-07-30,-26.1
2016-08-27,-26.5
2016-09-23,-27.3
2016-10-20,-27.6
2016-11-16,-24.0
2016-12-14,-22.8
2017-01-10,-23.3
2017-02-06,-16.7
2017-03-05,-14.4
2017-04-02,-12.2
2017-04-29,-10.4
2017-05-26,-10.8
2017-06-23,-13.4
2017-07-20,-12.3
2017-08-16,-10.1
2017-09-12,-11.3
2017-10-10,-11.1
2017-11-06,-10.9
2017-12-03,-11.0
2017-12-30,-10.0
2018-01-27,-11.3
2018-02-23,-8.9
2018-03-22,-9.4
2018-04-19,-6.6
2018-05-16,-2.9
2018-06-12,-4.8
2018-07-09,-11.6
2018-08-06,-5.5
2018-09-02,-3.5
2018-09-29,-7.6
2018-10-26,-8.0
2018-11-23,-8.7
2018-12-20,-8.3
2019-01-16,-10.7
2019-02-13,-8.6
2019-03-12,-9.3
2019-04-08,-10.0
2019-05-05,-9.4
2019-06-02,-6.5
2019-06-29,-6.1
2019-07-26,-6.8
2019-08-23,-4.7
2019-09-19,-2.4
2019-10-16,-3.4
2019-11-12,-4.8
2019-12-10,-7.7
2020-01-06,-6.6
2020-02-02,-4.8
2020-02-29,-3.6
2020-03-28,-3.9
2020-04-24,-2.4
2020-05-21,-5.4
2020-06-18,-0.5
2020-07-15,-5.5
2020-08-11,-3.5
2020-09-07,-5.8
2020-10-05,-11.5
2020-11-01,-9.2
2020-11-28,-19.6
2020-12-25,-12.4
2021-01-22,-13.3
2021-02-18,-13.6
2021-03-17,-14.0
2021-04-14,-13.9
2021-05-11,-13.0
